# Kho cờ thế, sinh bằng tool/generate_puzzles_test.dart
# Mỗi dòng: <số nửa nước>|<thế cờ FEN>|<đường thắng mẫu>
# Mọi dòng đều đã được máy chứng minh là thắng ép và chỉ có đúng một
# nước mở đầu thắng. Đừng sửa tay — sửa xong là bài kiểm đỏ.
1|9/3k5/9/9/9/R4C3/9/9/9/4K4 w - - 0 1|a4d4
1|9/5k3/3P5/9/9/9/7R1/4K4/9/9 w - - 0 1|h3f3
1|3k5/9/9/9/9/1C7/3C5/9/4C4/4K4 w - - 0 1|e1d1
1|5k3/9/9/1N7/9/9/2P6/4K4/9/9 w - - 0 1|b6d7
1|2bk5/4R4/9/4N4/9/9/6n2/9/9/5K3 w - - 0 1|e6c7
1|4k4/6R2/9/9/4P4/9/9/2p6/5K1R1/9 w - - 0 1|h1h9
1|9/9/3k1PN2/4P4/9/9/9/9/9/4K4 w - - 0 1|g7f9
1|8n/5C3/3k5/9/9/9/6R2/4K4/9/9 w - - 0 1|g3d3
1|9/9/3k5/1RC6/9/9/9/9/4K4/4C4 w - - 0 1|b6b8
1|4P1R2/5k3/9/9/9/9/5n3/1C6p/9/4K4 w - - 0 1|g9f9
1|9/N5P2/3N1k3/9/9/9/9/9/3K5/9 w - - 0 1|d1e1
1|P4k3/9/b8/7P1/9/9/7R1/4K4/9/9 w - - 0 1|h3f3
1|2b6/3k5/9/9/1P7/9/N6R1/9/4K4/9 w - - 0 1|h3d3
1|9/9/3k5/9/3P5/9/9/4K4/9/5C2n w - - 0 1|f0d0
1|N8/9/3k5/6P2/9/9/9/4K4/9/9 w - - 0 1|a9b7
1|9/5n3/5k3/9/9/1n7/1N5N1/4K4/9/6N2 w - - 0 1|h3g5
1|3k2b2/9/9/7R1/9/3C5/9/9/9/4K4 w - - 0 1|h6d6
1|9/9/4k4/5P3/n4R3/9/9/3K5/9/7n1 w - - 0 1|f5e5
1|5k3/R3a4/4N4/9/4P4/9/9/4K4/9/9 w - - 0 1|a8e8
1|N6R1/9/3k1P3/9/9/9/7n1/9/p8/4K4 w - - 0 1|h9d9
1|3k5/6C2/9/5R3/9/5n3/9/9/4K4/9 w - - 0 1|f6d6
1|9/9/3k5/5C3/7R1/n8/9/9/4K4/9 w - - 0 1|h5d5
1|3k5/9/9/9/9/9/9/1N1C5/4K2n1/9 w - - 0 1|b2d3
1|5k3/9/8b/9/8N/9/4R4/9/4K4/9 w - - 0 1|e3f3
1|9/9/4k4/9/9/5R3/5N3/9/9/3K5 w - - 0 1|f4f8
1|2bP5/9/3a1k3/3R5/9/9/9/9/9/4K4 w - - 0 1|d6f6
1|9/5k3/9/9/8N/2R6/2P6/4K4/4n4/9 w - - 0 1|c4f4
1|9/9/5k3/9/8N/9/9/4KN3/9/2n3C2 w - - 0 1|g0f0
1|9/3k5/9/6R2/9/2P6/9/9/4K4/9 w - - 0 1|g6d6
1|9/1R1C5/3k5/9/9/9/9/9/9/5K3 w - - 0 1|f0e0
1|9/4P4/5k3/9/9/9/9/9/9/C2K5 w - - 0 1|d0e0
1|1P7/9/3k5/9/6b2/4R4/9/9/9/4K4 w - - 0 1|e4d4
1|9/3k1P3/5a3/9/9/9/8p/5K3/6R2/9 w - - 0 1|g1d1
1|6bP1/9/3k5/2R6/2b6/9/9/4K4/9/3N5 w - - 0 1|c6d6
1|9/9/3k5/9/8N/9/9/9/9/4RK3 w - - 0 1|e0e8
1|5N3/9/4Nk3/9/9/9/9/4C4/3K5/9 w - - 0 1|e7d9
1|6C2/7R1/4ka3/6R2/9/9/n8/3K5/9/9 w - - 0 1|g6e6
1|9/9/4k3b/3P3P1/2b2R3/9/9/9/9/5K3 w - - 0 1|f5e5
1|4k4/4N4/7R1/9/9/9/9/3K5/9/9 w - - 0 1|e8g7
1|5k3/9/9/4R4/9/9/3CP4/9/9/4K4 w - - 0 1|e6e8
3|3k2C2/9/9/9/P6n1/9/9/1n7/4K4/8R w - - 0 1|i0d0 b2d3 d0d3
3|4k4/8N/9/8C/9/9/9/9/4NK3/9 w - - 0 1|i8g9 e9d9 g9f7
3|9/9/5k3/9/6b2/4NN3/4N4/9/9/p2K5 w - - 0 1|f4g6 g5e7 e4d6
3|9/4k4/9/9/9/2P6/9/9/2R6/3K5 w - - 0 1|c1f1 e8e9 f1f8
3|5k3/R3a4/4bN3/9/9/9/9/3K5/9/9 w - - 0 1|a8e8 e7c9 f7h8
3|4k4/9/9/9/6b2/R8/7N1/5K3/4C4/9 w - - 0 1|h3g5 e9e8 g5e6
3|9/7P1/5k3/9/9/9/5C3/3K5/6C2/9 w - - 0 1|d2e2 f7f8 g1f1
